positive/0_0_0 copy 10.jpg 1 0 0 1 4
positive/0_0_0 copy 11.jpg 1 1 4 97 122
positive/0_0_0 copy 12.jpg 1 2 8 90 132
positive/0_0_0 copy 13.jpg 1 0 16 92 124
positive/0_0_0 copy 14.jpg 1 0 16 130 145
positive/0_0_0 copy 15.jpg 1 3 8 127 153
positive/0_0_0 copy 16.jpg 1 3 8 409 620
positive/0_0_0 copy 17.jpg 1 4 15 118 194
positive/0_0_0 copy 18.jpg 0
positive/0_0_0 copy 19.jpg 1 2 7 104 173
positive/0_0_0 copy 2 2.jpg 1 5 16 155 236
positive/0_0_0 copy 2.jpg 1 3 11 141 229
positive/0_0_0 copy 2.png 1 1 4 56 74
positive/0_0_0 copy 20.jpg 1 2 14 120 165
positive/0_0_0 copy 21.jpg 1 6 5 116 174
positive/0_0_0 copy 22.jpg 1 6 5 117 198
positive/0_0_0 copy 23.jpg 1 7 13 97 153
positive/0_0_0 copy 24.jpg 1 3 8 111 196
positive/0_0_0 copy 25.jpg 1 25 48 249 400
positive/0_0_0 copy 26.jpg 1 15 27 180 297
positive/0_0_0 copy 27.jpg 1 2 24 703 565
positive/0_0_0 copy 28.jpg 1 2 3 703 586
positive/0_0_0 copy 29.jpg 1 2 3 610 744
positive/0_0_0 copy 3 2.jpg 1 2 28 179 235
positive/0_0_0 copy 3.jpg 0
positive/0_0_0 copy 3.png 1 5 8 190 312
positive/0_0_0 copy 30.jpg 1 4 36 190 244
positive/0_0_0 copy 31.jpg 1 3 23 115 165
positive/0_0_0 copy 32.jpg 1 2 11 116 177
positive/0_0_0 copy 33.jpg 1 2 11 137 181
positive/0_0_0 copy 34.jpg 1 4 8 135 184
positive/0_0_0 copy 35.jpg 1 4 8 135 184
positive/0_0_0 copy 36.jpg 1 4 8 109 141
positive/0_0_0 copy 37.jpg 1 3 50 222 298
positive/0_0_0 copy 38.jpg 1 1 41 276 386
positive/0_0_0 copy 39.jpg 1 0 8 107 96
positive/0_0_0 copy 4 2.jpg 1 2 128 315 384
positive/0_0_0 copy 4.jpg 1 1 14 125 164
positive/0_0_0 copy 40.jpg 1 3 23 123 155
positive/0_0_0 copy 41.jpg 1 3 23 244 399
positive/0_0_0 copy 42.jpg 1 3 4 244 418
positive/0_0_0 copy 43.jpg 1 1 4 54 75
positive/0_0_0 copy 44.jpg 1 1 7 54 72
positive/0_0_0 copy 45.jpg 1 1 7 191 245
positive/0_0_0 copy 46.jpg 1 6 20 142 200
positive/0_0_0 copy 47.jpg 1 6 13 96 119
positive/0_0_0 copy 48.jpg 1 7 16 71 77
positive/0_0_0 copy 49.jpg 1 7 24 93 124
positive/0_0_0 copy 5 2.jpg 1 6 77 518 666
positive/0_0_0 copy 5.jpg 1 2 14 109 130
positive/0_0_0 copy 50.jpg 1 0 7 94 133
positive/0_0_0 copy 51.jpg 1 7 25 301 417
positive/0_0_0 copy 52.jpg 1 2 35 198 263
positive/0_0_0 copy 53.jpg 1 22 66 361 347
positive/0_0_0 copy 54.jpg 1 18 77 253 308
positive/0_0_0 copy 55.jpg 1 2 23 150 190
positive/0_0_0 copy 56.jpg 1 6 12 91 103
positive/0_0_0 copy 57.jpg 1 3 9 76 76
positive/0_0_0 copy 58.jpg 1 2 23 77 62
positive/0_0_0 copy 59.jpg 1 2 23 190 208
positive/0_0_0 copy 6.jpg 1 6 78 186 153
positive/0_0_0 copy 60.jpg 1 5 8 102 145
positive/0_0_0 copy 61.jpg 1 6 23 140 196
positive/0_0_0 copy 62.jpg 1 2 22 140 160
positive/0_0_0 copy 63.jpg 1 4 7 138 175
positive/0_0_0 copy 64.jpg 1 4 7 98 128
positive/0_0_0 copy 65.jpg 1 10 65 176 229
positive/0_0_0 copy 66.jpg 1 10 46 144 188
positive/0_0_0 copy 67.jpg 1 2 8 152 226
positive/0_0_0 copy 68.jpg 1 2 8 100 133
positive/0_0_0 copy 69.jpg 1 4 24 124 179
positive/0_0_0 copy 7.jpg 1 2 15 121 154
positive/0_0_0 copy 70.jpg 1 66 162 341 465
positive/0_0_0 copy 71.jpg 1 1 14 406 613
positive/0_0_0 copy 72.jpg 1 1 14 130 123
positive/0_0_0 copy 73.jpg 1 2 18 129 119
positive/0_0_0 copy 74.jpg 1 2 18 164 248
positive/0_0_0 copy 75.jpg 1 3 17 176 244
positive/0_0_0 copy 76.jpg 1 9 120 314 393
positive/0_0_0 copy 77.jpg 1 4 148 508 611
positive/0_0_0 copy 78.jpg 1 0 13 160 222
positive/0_0_0 copy 79.jpg 1 1 7 60 77
positive/0_0_0 copy 8.jpg 1 3 6 58 78
